Timestamp,Container,CPU_Percent,Memory_Usage
15:56:56,spark_workspace,0.06%,200.8MiB / 31.09GiB
15:57:01,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:57:05,spark_workspace,0.05%,200.8MiB / 31.09GiB
15:57:10,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:57:14,spark_workspace,0.00%,200.8MiB / 31.09GiB
15:57:19,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:57:24,spark_workspace,10.59%,200.8MiB / 31.09GiB
15:57:28,spark_workspace,9.44%,200.8MiB / 31.09GiB
15:57:33,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:57:37,spark_workspace,0.05%,200.8MiB / 31.09GiB
15:57:42,spark_workspace,0.07%,200.8MiB / 31.09GiB
15:57:47,spark_workspace,0.05%,200.8MiB / 31.09GiB
15:57:51,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:57:56,spark_workspace,0.06%,200.8MiB / 31.09GiB
15:58:01,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:58:05,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:58:10,spark_workspace,3.61%,200.8MiB / 31.09GiB
15:58:15,spark_workspace,0.10%,200.8MiB / 31.09GiB
15:58:19,spark_workspace,9.11%,200.8MiB / 31.09GiB
15:58:24,spark_workspace,0.04%,200.8MiB / 31.09GiB
15:58:28,spark_workspace,0.06%,200.8MiB / 31.09GiB
15:58:33,spark_workspace,0.04%,200.8MiB / 31.09GiB
15:58:38,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:58:42,spark_workspace,0.02%,200.8MiB / 31.09GiB
15:58:47,spark_workspace,0.06%,200.8MiB / 31.09GiB
15:58:52,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:58:56,spark_workspace,0.81%,200.8MiB / 31.09GiB
15:59:01,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:59:05,spark_workspace,5.68%,208.9MiB / 31.09GiB
15:59:10,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:59:15,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:59:19,spark_workspace,0.05%,200.8MiB / 31.09GiB
15:59:24,spark_workspace,0.04%,200.8MiB / 31.09GiB
15:59:29,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:59:33,spark_workspace,0.06%,200.8MiB / 31.09GiB
15:59:38,spark_workspace,9.80%,200.8MiB / 31.09GiB
15:59:42,spark_workspace,9.91%,201MiB / 31.09GiB
15:59:47,spark_workspace,0.01%,200.8MiB / 31.09GiB
15:59:52,spark_workspace,9.71%,200.9MiB / 31.09GiB
15:59:56,spark_workspace,0.07%,200.8MiB / 31.09GiB
16:00:01,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:00:05,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:00:10,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:00:15,spark_workspace,0.08%,200.8MiB / 31.09GiB
16:00:19,spark_workspace,0.05%,200.8MiB / 31.09GiB
16:00:24,spark_workspace,0.04%,200.8MiB / 31.09GiB
16:00:29,spark_workspace,0.05%,200.8MiB / 31.09GiB
16:00:33,spark_workspace,8.51%,200.8MiB / 31.09GiB
16:00:38,spark_workspace,9.75%,200.9MiB / 31.09GiB
16:00:42,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:00:47,spark_workspace,0.05%,200.8MiB / 31.09GiB
16:00:52,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:00:56,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:01,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:06,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:10,spark_workspace,9.99%,200.8MiB / 31.09GiB
16:01:15,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:20,spark_workspace,9.38%,200.8MiB / 31.09GiB
16:01:24,spark_workspace,8.99%,200.9MiB / 31.09GiB
16:01:29,spark_workspace,0.06%,200.8MiB / 31.09GiB
16:01:34,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:38,spark_workspace,0.05%,200.8MiB / 31.09GiB
16:01:43,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:48,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:52,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:01:57,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:02:01,spark_workspace,0.06%,200.8MiB / 31.09GiB
16:02:06,spark_workspace,0.06%,200.8MiB / 31.09GiB
16:02:11,spark_workspace,9.92%,200.8MiB / 31.09GiB
16:02:15,spark_workspace,0.07%,200.8MiB / 31.09GiB
16:02:20,spark_workspace,0.05%,200.8MiB / 31.09GiB
16:02:24,spark_workspace,0.13%,200.8MiB / 31.09GiB
16:02:29,spark_workspace,0.04%,200.8MiB / 31.09GiB
16:02:34,spark_workspace,0.00%,200.8MiB / 31.09GiB
16:02:38,spark_workspace,0.01%,200.8MiB / 31.09GiB
16:02:43,spark_workspace,9.40%,200.8MiB / 31.09GiB
16:02:50,spark_workspace,0.04%,200.8MiB / 31.09GiB
